City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
276,Brae,GB,60.4,-1.35,51.8,93,99,6.93,overcast clouds,0.0,0
277,Zhanaozen,KZ,43.3,52.8,80.37,36,0,3.89,clear sky,0.0,0
278,Itoman,JP,26.12,127.67,84.2,83,40,5.82,scattered clouds,0.0,0
279,Zhigansk,RU,66.77,123.37,62.78,68,70,4.21,broken clouds,0.0,0
280,Machesney Park,US,42.35,-89.04,82.4,45,75,12.75,broken clouds,0.0,0
281,Longyearbyen,SJ,78.22,15.64,46.4,75,75,2.24,broken clouds,0.0,0
282,Hanzhong,CN,33.07,107.03,66.07,88,17,0.89,few clouds,0.0,0
283,Portland,US,45.52,-122.68,73.0,60,75,5.82,broken clouds,0.0,0
284,Lavrentiya,RU,65.58,-171.0,45.37,76,7,4.56,clear sky,0.0,0
285,Kumluca,TR,36.37,30.29,84.58,42,0,2.33,clear sky,0.0,0
286,Djibo,BF,14.1,-1.63,95.58,33,1,4.7,clear sky,0.0,0
287,Ugoofaaru,MV,5.67,73.0,83.44,69,46,2.71,scattered clouds,0.0,0
288,Beringovskiy,RU,63.05,179.32,50.61,82,99,9.53,overcast clouds,0.0,0
289,Acarau,BR,-2.89,-40.12,78.62,79,59,13.62,broken clouds,0.0,0
290,Sokoni,TZ,-6.43,39.55,77.0,78,20,4.7,few clouds,0.0,0
291,San Carlos De Bariloche,AR,-41.15,-71.31,37.4,47,40,13.87,scattered clouds,0.0,0
292,Kiama,AU,-34.68,150.87,48.0,90,100,2.19,light rain,0.78,0
293,Tahoua,NE,14.89,5.27,84.2,66,89,13.87,overcast clouds,0.0,0
294,Barcelona,ES,41.39,2.16,77.0,65,20,4.7,few clouds,0.0,0
295,Santa Maria,BR,-29.68,-53.81,62.6,77,40,4.7,scattered clouds,0.0,0
296,Fortuna,US,40.6,-124.16,71.01,63,20,17.22,few clouds,0.0,0
297,Ostrovnoy,RU,68.05,39.51,48.58,90,100,7.43,overcast clouds,0.0,0
298,Mocuba,MZ,-16.84,36.99,66.18,94,97,5.66,light rain,0.14,0
299,Noumea,NC,-22.28,166.46,69.01,87,40,3.36,scattered clouds,0.0,0
300,Batagay,RU,67.63,134.63,72.77,66,72,2.59,broken clouds,0.0,0
301,Cidreira,BR,-30.18,-50.21,58.28,90,100,10.38,overcast clouds,0.0,0
302,Zavyalovo,RU,54.51,82.45,62.6,100,75,4.47,light intensity shower rain,0.0,0
303,Mareeba,AU,-17.0,145.43,70.0,89,75,3.0,broken clouds,0.0,0
304,Mongu,ZM,-15.25,23.13,56.7,36,0,6.29,clear sky,0.0,0
305,Omboue,GA,-1.57,9.26,73.33,87,97,8.86,overcast clouds,0.0,0
306,Progreso,MX,21.28,-89.67,98.01,44,75,11.86,broken clouds,0.0,0
307,Norwich,GB,52.63,1.3,61.0,59,64,6.93,broken clouds,0.0,0
308,Pevek,RU,69.7,170.31,48.27,72,79,3.78,broken clouds,0.0,0
309,Pingliang,CN,35.54,106.69,59.65,85,0,3.24,clear sky,0.0,0
